В приложении 10 к Конвенции о международной ГА изложены,Рекомендуемая практика авиационной электросвязи,Стандарты авиационной электросвязи
Какие из перечисленных работников являются ответственными за безопасное ведение работ в электроустановках?,"Все перечисленные работники, а также выдающий разрешение на подготовку рабочего места и на допуск в случаях, определенных в пункте 5.14 Правил"
Допускается ли закреплять строп страховочной привязи поддерживающих и натяжных многоцепных изолирующих подвесках за гирлянду изолятора?,"Допускается закреплять за одну из гирлянд изоляторов, на которой работа не ведется"
Кто проводит целевой инструктаж при работах по распоряжению для членов бригады?,Производитель работ - членам бригады. (допускающий и производитель работ).
Что недопустимо при выполнении работ под напряжением в электроустановках напряжением до 1000 В?,"Работать в одежде с короткими или засученными рукавами, а также использовать ножовки, напильники, металлические метры и другие металлические инструменты и приспособления, не предназначенные для выполнения работ под напряжением."
"После какого срока могут быть уничтожены наряд-допуски, работы по которым полностью закончены и не имели место аварии, инциденты и несчастные случаи?",По истечении 1 года
Кто имеет право на продление наряд-допуска?,"Только работник, выдавший наряд-допуск, или имеющий право выдачи наряд-допуска в данной электроустановке"
Какие существуют возрастные ограничения для присвоения III группы по электробезопасности?,Группа III по электробезопасности может присваиваться работникам только по достижении 18-летнего возраста
В каком случае удостоверение о проверке знаний правил работы в электроустановках подлежит замене?,В случае изменения должности
Какие из перечисленных функций не входят в обязанности наблюдающего?,Отвечает за качественный и количественный состав бригады
При каких условиях разрешается применение металлических переносных лестниц в РУ напряжением до 220 кВ?,Применение переносных металлических лестниц запрещено
"Каким образом должно оформляться согласование работ, выполняемых в месте проведения работ по другому наряд-допуску?  ","Согласование оформляется до начала подготовки рабочего места по второму наряд-допуску записью ""Согласовано"" на лицевой стороне второго наряд-допуска-допуска, располагаемой в левом нижнем поле документа с подписями работников, согласующих документ."
"На какое расстояние не допускается приближаться незащищенными от поражения электрическим током частями тела к токоведущим частям, находящихся под напряжением при выполнении работ методом «в изоляции»?",менее 150 мм 
Каковы условия применения электроинструмента класса II в особо опасных помещениях?,Без применения электрозащитных средств
На кого распространяются Правила по охране труда при эксплуатации электроустановок?,"На работодателей - юридических и физических лиц независимо от их организационно-правовых форм и работников из числа электротехнического, электротехнологического и неэлектротехнического персонала"
"В каких случаях запрещается выполнение (возобновление) работ на ВЛ, ВЛЗ, ВЛИ под напряжением?",Во всех перечисленных случаях
Допускается ли производителю работ совмещать обязанности допускающего согласно Правилам по охране труда при эксплуатации электроустановок?,"Допускается, в этом случае подготовку рабочего места он должен выполнять с одним из членов бригады, имеющим группу III по электробезопасности"
Какой инструктаж должен пройти электротехнический персонал перед началом работ по распоряжению?  ,Целевой
Сколько экземпляров наряда-допуска должно оформляться?  ,"Наряд-допуск оформляется в двух экземплярах, а при передаче по телефону, радио, факсимильным или электронным письмом - в трех"
Кто назначается ответственным руководителем работ в электроустановках до 1000 В? ,"Работники из числа административно-технического персонала, имеющие группу IV по электробезопасности"
Электроинструмент какого класса можно применять без использования электрозащитных средств при производстве работ в металлических емкостях с ограниченной возможностью перемещения и выхода? ,Класса III
"Каким образом должна быть обеспечена защита от потенциала при работах на проводах, выполняемых с телескопической вышки?","Рабочая площадка вышки должна быть с помощью специальной штанги соединена с проводом линии гибким медным проводником сечением не менее 10 мм² , а сама вышка заземлена"
В каком из перечисленных случаев допускается заменять предохранители под напряжением и под нагрузкой?,В любом из перечисленных случаев
"Допускается ли самовольное проведение работ в действующих электроустановках, а также расширение рабочих мест и объема задания, определенных наряд-допуском, распоряжением или утвержденным работодателем перечнем работ, выполняемых в порядке текущей эксплуатации?","Самовольное проведение работ, расширение рабочих мест и объема  задания, определенных наряд-допуском, распоряжением или утвержденным работодателем перечнем работ, выполняемых в порядке текущей эксплуатации в действующих электроустановках не допускается"
"Какие из перечисленных мероприятий необходимо учитывать при оформлении перечня работ, выполняемых в порядке текущей эксплуатации?",Необходимо учитывать все перечисленные мероприятия
Какую группу по электробезопасности должен иметь допускающий в электроустановках напряжением до 1000 В?,Группу III по электробезопасности
"Какие мероприятия не относятся к организационным, обеспечивающим безопасность работ в электроустановках?","Производство необходимых отключений и принятие мер, препятствующих подаче напряжения на место работы вследствие ошибочного или самопроизвольного включения коммутационных аппаратов"
Какие меры необходимо предпринять машинисту в случае соприкосновения стрелы крана с токоведущими частями?,"Быстро разорвать возникший контакт и отвести подвижную часть от токоведущих частей на безопасное расстояние, предупредив окружающих работников о том, что механизм находится под напряжением"
"Что обязан сделать допускающий, осуществляющий первичный допуск бригады к работе по наряд-допуску или распоряжению?",Все перечисленное
Право проведения каких работ должно быть зафиксировано в удостоверении о проверке знаний правил работы в электроустановках в графе «Свидетельство на право проведения специальных работ»?,"Работы, выполняемые со снятием рабочего напряжения с электроустановки или ее части с прикосновением к токоведущим частям, находящимся под наведенным напряжением более 25 В на рабочем месте или на расстоянии от этих токоведущих частей менее допустимого "
Что должно предшествовать началу работ по наряд-допуску или по распоряжению?,Целевой инструктаж
Сколько схем существует для обеспечения безопасности персонала при выполнении работ под напряжением на токоведущих частях согласно Правилам по охране труда при эксплуатации электроустановок?,Три
"Кому разрешается работать единолично в электроустановках напряжением до 1000 В, расположенных в помещениях, кроме особо опасных? ","Работнику, имеющему III группу по электробезопасности и право быть производителем работ"
Необходима запись о допуске на подготовленное рабочее место в оперативном журнале согласно Правилам по охране труда при эксплуатации электроустановок?,Да 
Как должны выполняться работы по расчистке трассы воздушной линии электропередачи от деревьев согласно Правилам по охране труда при эксплуатации электроустановок?,По наряду-допуску или распоряжению
В каком из перечисленных случаев допускается выдавать один наряд-допуск для одновременного или поочередного выполнения работ на разных рабочих местах одной электроустановки?,Во всех перечисленных
Что запрещено работнику при выполнении работ с применением переносного электроинструмента?,"Разбирать ручные электрические машины и электроинструмент, производить какой-либо ремонт"
"Какие работы из перечисленных можно отнести к работам, выполняемым в порядке текущей эксплуатации в электроустановках напряжением до 1000 В?","Снятие и установка электросчетчиков, других приборов и средств измерений"
Какой минимальный стаж работы в электроустановках должен быть у работника с высшим профессиональным (техническим) образованием в области электроэнергетики для перехода с третьей группы электробезопасности на четвертую?,2 месяца в предыдущей группе
"На какое число присоединений допускается выдавать наряд-допуск в электроустановках выше 1000 В, где напряжение снято со всех токоведущих частей, в том числе с вводов воздушной линии электропередачи и кабельной линии, и заперт вход в соседние электроустановки  ",Один наряд-допуск для одновременной работы на сборных шинах и всех присоединениях
В каких целях допускается приближение на расстояние менее 8 метров к месту возникновения короткого замыкания на землю при работах на воздушной линии электропередачи?,"Только для оперативных переключений с целью ликвидации замыкания и освобождения людей, попавших под напряжение"
"При каком условии работники, не обслуживающие электроустановки, могут допускаться в РУ до 1000 В?","В сопровождении оперативного персонала, обслуживающего данную электроустановку, имеющего группу III, либо работника, имеющего право единоличного осмотра"
Кем проводится присвоение I группы по электробезопасности?,"Присвоение I группы по электробезопасности проводится работником из числа электротехнического персонала, имеющего группу III по электробезопасности, назначенным распоряжением руководителя организации"
Что включает в себя понятие «Наряд-допуск»?,"Задание на производство работы, оформленное на специальном бланке установленной формы и определяющее содержание, место работы, время ее начала и окончания, условия безопасного проведения, состав бригады и работников, ответственных за безопасное выполнение"
"При совместном производстве нескольких видов работ, по которым требуется оформление наряда-допуска, допускается ли оформление единого наряда-допуска?",Да
Кто назначается ответственным руководителем работ в электроустановках выше 1000 В?,"Работники из числа административно-технического персонала, имеющие группу V по электробезопасности"
"Какие работники могут выполнять единоличный осмотр электроустановок, электротехнической части технологического оборудования напряжением до 1000 В?","Работник  из числа оперативного персонала, имеющий группу по электробезопасности не ниже III, осуществляющий оперативное обслуживание данной электроустановки, находящийся на дежурстве, либо работник из числа административно-технического персонала, на которого возложены обязанности по организации технического и оперативного обслуживания, проведения ремонтных, монтажных и наладочных работ в электроустановках (далее - административно-технический персонал), имеющий: группу IV по электробезопасности "
"Какую группу по электробезопасности должны иметь работники из числа оперативного персонала, единолично обслуживающие электроустановки напряжением до 1000 В?",Группу не ниже III
Кто инструктирует бригаду по вопросам использования инструмента и приспособлений?,Производитель работ
Какие запрещающие плакаты вывешиваются на приводах коммутационных аппаратов во избежание подачи напряжения на рабочее место при проведении ремонта или планового осмотра оборудования?,«Не включать! Работают люди»
"Допустимо ли пребывание одного или нескольких членов бригады отдельно от производителя работ, в случае рассредоточения членов бригады по разным рабочим местам?","Допустимо, при наличии у членов бригады III группы по электробезопасности"
Каким должно быть расстояние в производственных помещениях между параллельно проложенными силовыми кабелями и трубопроводами с горючими жидкостями?,"Не менее 1,0 м"
Какой тип опор устанавливается на прямых участках трассы воздушной линии электропередачи?,Промежуточные опоры
"Что может быть применено для защиты при косвенном прикосновении в цепях, питающих переносные электроприемники?","Любая из перечисленных мер защиты, в зависимости от категории помещения по уровню опасности поражения людей электрическим током"
"Какие помещения, согласно ПУЭ, называются сырыми?","Помещения, в которых относительная влажность воздуха превышает 75%"
"Каким образом обозначаются проводники защитного заземления, а также нулевые защитные проводники в электроустановках напряжением до 1 кВ с глухозаземленной нейтралью?",Обозначаются PE и имеют цветовое обозначение чередующимися продольными или поперечными полосами одинаковой ширины желтого и зеленого цветов
"Какое минимальное сечение должен иметь медный заземляющий проводник, присоединяющий заземлитель рабочего",10 мм2
Как обозначаются шины при переменном однофазном токе?,"Шина B, присоединенная к концу обмотки источника питания, - красным цветом, шина A, присоединенная к началу обмотки источника питания, - желтым цветом"
"На какие виды, согласно Правилам устройства электроустановок, делится аварийное освещение?",Освещение безопасности и эвакуационное освещение
Что является определением термина «Двойная изоляция»?,"Изоляция в электроустановках напряжением до 1 кВ, состоящая из основной и дополнительной изоляции"
"На какой высоте, как правило, должны устанавливаться штепсельные розетки на номинальный ток до 16 А и напряжение до 250 В в производственных помещениях?","На высоте 0,8-1,0 м"
Чем должны перекрываться кабельные каналы и двойные полы в распределительных устройствах и помещениях?,Съемными несгораемыми плитами
"Что, согласно Правилам устройства электроустановок, называется нормальным режимом потребителя электрической энергии?","Режим, при котором обеспечиваются заданные значения параметров его работы"
"Какая должна быть длина гибкого кабеля, соединяющего источник сварочного тока и коммутационный аппарат?",Не больше 15 м
"Какие помещения, согласно ПУЭ, относятся к влажным?","Помещения, в которых относительная влажность воздуха больше 60 %, но не превышает 75%"
Что является определением термина «Защита от прямого прикосновения»?,"Защита для предотвращения прикосновения к токоведущим частям, находящимся под напряжением"
Каким цветом должны быть обозначены шины трехфазного тока?,"Шины фазы A - желтым, фазы B - зеленым, фазы C - красным цветом"
"Что, согласно Правилам устройства электроустановок, называется приемником электрической энергии","Аппарат, агрегат и др., предназначенный для преобразования электрической энергии в другой вид энергии"
"Допускается ли прохождение ВЛ по территории стадионов, учебных и детских учреждений?",Не допускается
Какие кабели должны применяться для прокладки кабельных линий в кабельных блоках и трубах?,"Как правило, должны применяться небронированные кабели в свинцовой усиленной оболочке"
Что является определением термина «Защитное заземление»?,"Заземление, выполняемое в целях электробезопасности"
"Что, согласно Правилам устройства электроустановок, называется групповой сетью?","Сеть от щитков до светильников, штепсельных розеток и других электроприемников"
"Каким образом должно быть выполнено присоединение заземляющих и нулевых защитных проводников, и проводников уравнивания потенциалов к открытым проводящим частям?",При помощи болтовых соединений или сварки
Какой тип опор устанавливается в местах изменения направления трассы воздушной линии электропередачи?,Угловые опоры
"На каком расстоянии на кабелях, проложенных в кабельных сооружениях, должны располагаться бирки?",Не реже чем через каждые 50 м
Что является определением термина «Защита при косвенном прикосновении»?,"Защита от поражения электрическим током, при прикосновении к открытым проводящим частям, оказавшимся под напряжением, при повреждении изоляции"
"Что, согласно Правилам устройства электроустановок, называется потребителем электрической энергии?","Электроприемник или группа электроприемников, объединенных технологическим процессом и размещающихся на определенной территории"
"Какая охранная зона устанавливается, при прохождении кабельных линий до 1 кВ, в городах под тротуарами?","0,6 м в сторону зданий сооружений и на 1 м в сторону проезжей части улицы"
"Что, согласно Правилам устройства электроустановок, называется питающей осветительной сетью?","Сеть от распределительного устройства подстанции или ответвления от воздушных линий электропередачи до ВУ, ВРУ, ГРЩ"
Что является определением термина «Естественный заземлитель»?,"Сторонняя проводящая часть, находящаяся в электрическом контакте с землей, непосредственно, или через промежуточную проводящую среду, используемая для целей заземления"
Как обозначаются шины при постоянном токе?,"Положительная шина (+) - красным цветом, отрицательная (-) - синим и нулевая рабочая M - голубым цветом"
"Светильники какого класса защиты, согласно Правилам устройства электроустановок, необходимо применять (за исключением светильников, обслуживаемых с кранов) в помещениях с повышенной опасностью и особо опасных помещениях при высоте установки светильников общего освещения над полом или площадкой обслуживания менее 2,5 м при условии, что цепь не защищена устройством защитного отключения?",Класса защиты 2 или 3
Что может быть использовано в качестве естественных заземлителей?,"Металлические трубы водопровода, проложенные в земле"
"Какое напряжение, согласно Правилам устройства электроустановок, должно применяться для питания переносных светильников в помещениях с повышенной опасностью и особо опасных помещениях?",Напряжение не выше 50 В
Что является определением термина «Искусственный заземлитель»?,"Заземлитель, специально выполняемый для целей заземления"
"Что, согласно Правилам устройства электроустановок, называется распределительной сетью?","Сеть от ВУ, ВРУ, ГРЩ до распределительных пунктов, щитков и пунктов питания наружного освещения"
"Какие кабели рекомендуется применять для кабельных линий, прокладываемых по железнодорожным мостам, а так же по другим мостам с интенсивным движением транспорта?",Бронированные кабели в алюминиевой оболочке
Допускается ли совмещенная прокладка токопроводов и технологических трубопроводов на общих опорах?,Не допускается
Каким должно быть минимальное сечение отдельно проложенных защитных алюминиевых проводников?,16 мм2
Что является определением термина «Заземление»?,"Преднамеренное электрическое соединение какой-либо точки сети, электроустановки или оборудования с заземляющим устройством"
"Какие помещения, согласно ПУЭ, называются сухими?","Помещения, в которых относительная влажность воздуха не превышает 60%"
Что является определением термина «Заземлитель»?,"Проводящая часть или совокупность соединенных между собой проводящих частей, находящихся в электрическом контакте с землей, непосредственно, или через промежуточную проводящую среду"
"На какой максимальной высоте над уровнем пола, согласно Правилам устройства электроустановок, должны устанавливаться светильники, обслуживаемые со стремянок или приставных лестниц?",На высоте не более 5 м до низа светильника
Что используется при присоединении переносной или передвижной электросварочной установки непосредственно к стационарной электрической сети?,Коммутационный и защитный аппараты (аппарат) с разборными или разъемными контактными соединениями
"Для чего, согласно Правилам устройства электроустановок, предназначено освещение безопасности?",Для продолжения работы при аварийном отключении рабочего освещения
Что является определением термина «Усиленная изоляция»?,"Изоляция в электроустановках напряжением до 1 кВ, обеспечивающая степень защиты от поражения электрическим током, равноценная двойной изоляции"
"Какие условия для обычного исполнения светильников, согласно Правилам устройства электроустановок, должны соблюдаться при применении люминесцентных ламп в осветительных установках?",Температура окружающей среды не должна быть ниже 5 °С; напряжение у осветительных приборов должно быть не менее 90% номинального
Каким образом должны быть обозначены нулевые рабочие,Буквой N и голубым цветом
Какие помещения относятся к помещениям с повышенной опасностью поражения людей электрическим током?,Любое из перечисленных помещений относится к помещениям с повышенной опасностью
Как классифицируются помещения в отношении опасности поражения людей электрическим током?,"Помещения без повышенной опасности, помещения с повышенной опасностью, особо опасные помещения"
"Что, согласно Правилам устройства электроустановок, называется независимым источником питания?","Источник питания, на котором сохраняется напряжение в послеаварийном режиме в регламентированных пределах при исчезновении его на другом или других источниках питания"
"Являются ли лакокрасочные покрытия изоляцией, защищающей от поражения электрическим током?","Не являются, за исключением случаев, специально оговоренных техническими условиями на конкретные изделия"
Что является определением термина «Основная изоляция»?,"Изоляция токоведущих частей, обеспечивающая, в том числе, защиту от прямого прикосновения"
"Светильники какого минимального класса защиты, согласно Правилам устройства электроустановок, допускается применять (за исключением светильников, обслуживаемых с кранов) в помещениях с повышенной опасностью и особо опасных помещениях при высоте установки светильников общего освещения над полом или площадкой обслуживания менее 2,5 м при условии что цепь защищена устройством защитного отключения?",Класса защиты 1
Какая вода должна применяться для доливки аккумуляторов?,Дистиллированная
Можно ли использовать землю в качестве фазного или нулевого провода в электроустановках до 1000 В?,Правилами технической эксплуатации электроустановок потребителей  запрещается
Когда проводится проверка состояния защиты от перенапряжений распределительных устройств?,"Ежегодно, перед началом грозового сезона"
Сколько человек должно присутствовать в комиссии по проверке знаний членов комиссий структурных подразделений организации?,"Не менее трех человек, в том числе председатель или его заместитель"
Чем должны быть укомплектованы электроустановки?,"Защитными средствами, средствами пожаротушения и инструментом"
Какие требования безопасности должен выполнять оперативный персонал при исчезновении напряжения на электроустановке?,Должен быть готов к появлению напряжения без предупреждения в любое время
Кто проводит ремонт переносных электроприемников?,Специализированная организация (подразделение)
Каким образом производится присоединение заземляющих проводников к заземлителю и заземляющим конструкциям?,Сваркой
"Где проводится проверка знаний работников Потребителя, численность которых не позволяет создать собственную комиссию? ",В территориальной комиссии Ростехнадзора
Какие данные должны быть указаны на бирках кабелей в начале и конце линии?,"Марка, напряжение, сечение, номер или наименование линии"
В какой цвет должны быть окрашены открыто проложенные заземляющие проводники?,В черный цвет
В течение какого срока должна проводиться стажировка электротехнического персонала на рабочем месте до назначения на самостоятельную работу?,От 2 до 14 смен
Кто должен выполнять уборку помещений распределительных устройств и очистку электрооборудования?,Обученный персонал с соблюдением правил безопасности
В каком из перечисленных случаев трансформатор должен быть аварийно выведен из работы?,В любом из перечисленных случаев
"За что несут персональную ответственность работники, осуществляющие ремонтные работы в электроустановках?","За нарушения в работе, вызванные низким качеством ремонта"
Кто периодически должен проводить выборочный осмотр кабельных линий?,Административно-технический персонал Потребителя
Каким образом оформляются результаты проверки знаний персонала по электробезопасности? ,"Результаты проверки заносятся в журнал установленной формы, персоналу успешно прошедшему проверку знаний выдается удостоверение установленной формы"
Чем должны отличаться светильники аварийного освещения от светильников рабочего освещения? ,Знаками или окраской
Какие виды инструктажа проводятся с оперативным и оперативно-ремонтным персоналом?,"Вводный, первичный на рабочем месте, повторный, внеплановый и целевой инструктажи по охране труда, а также инструктаж по пожарной безопасности"
Какая группа по электробезопасности должна быть у председателя комиссии по проверке знаний персонала организации с электроустановками до 1000 В?,Четвертая
Что является определением термина «Глухозаземленная нейтраль»?,"Нейтраль трансформатора или генератора, присоединенная к заземляющему устройству непосредственно "
Что является определением термина «Силовая электрическая цепь»?,"Электрическая цепь, содержащая элементы, функциональное назначение которых состоит в производстве или передаче основной части электрической энергии, ее распределении, преобразовании в другой вид энергии или в электрическую энергию с другими значениями параметров"
